item_id,cart_id,product_id,added_at,removed_at
1,1,33,2024-09-13 00:22:54,2024-09-13 00:58:54
2,2,39,2025-03-17 06:50:56,
3,2,44,2025-03-17 07:42:56,
4,2,41,2025-03-17 07:20:56,2025-03-17 07:43:56
5,2,23,2025-03-17 07:38:56,2025-03-17 08:23:56
6,3,29,2024-04-25 11:24:36,2024-04-25 12:17:36
7,3,1,2024-04-25 11:15:36,2024-04-25 11:45:36
8,4,42,2024-11-20 04:57:37,
9,4,22,2024-11-20 05:54:37,
10,4,43,2024-11-20 04:31:37,2024-11-20 05:24:37
11,5,15,2024-09-08 07:45:15,2024-09-08 08:12:15
12,6,19,2024-11-06 00:24:37,
13,6,48,2024-11-06 01:32:37,2024-11-06 01:40:37
14,6,33,2024-11-06 00:47:37,
15,6,44,2024-11-06 01:38:37,2024-11-06 02:02:37
16,7,34,2024-12-28 07:48:24,
17,7,42,2024-12-28 07:51:24,
18,7,26,2024-12-28 06:23:24,2024-12-28 06:52:24
19,8,34,2024-09-10 22:19:32,
20,8,23,2024-09-10 22:14:32,2024-09-10 23:11:32
21,9,48,2025-03-07 04:53:50,2025-03-07 05:04:50
22,9,9,2025-03-07 05:22:50,
23,9,12,2025-03-07 06:13:50,2025-03-07 06:33:50
24,10,44,2025-03-30 11:15:43,2025-03-30 11:22:43
25,11,2,2025-04-10 05:33:23,2025-04-10 06:03:23
26,12,45,2024-05-05 10:17:23,
27,12,11,2024-05-05 09:36:23,2024-05-05 10:20:23
28,12,38,2024-05-05 10:39:23,2024-05-05 11:11:23
29,13,1,2025-02-15 00:50:39,2025-02-15 01:36:39
30,13,39,2025-02-15 01:48:39,2025-02-15 02:44:39
31,14,5,2025-03-02 04:45:02,
32,14,7,2025-03-02 05:06:02,
33,15,3,2024-06-07 13:01:08,2024-06-07 13:11:08
34,15,29,2024-06-07 11:38:08,
35,15,22,2024-06-07 12:03:08,
36,15,25,2024-06-07 13:26:08,2024-06-07 13:45:08
37,16,50,2025-03-25 05:27:35,2025-03-25 05:43:35
38,16,34,2025-03-25 05:43:35,
39,17,27,2024-05-31 20:24:51,2024-05-31 21:10:51
40,17,22,2024-05-31 20:41:51,
41,17,13,2024-05-31 19:48:51,2024-05-31 20:17:51
42,18,16,2024-06-30 03:53:48,
43,18,50,2024-06-30 02:50:48,2024-06-30 03:14:48
44,18,10,2024-06-30 03:08:48,2024-06-30 03:33:48
45,19,41,2025-03-30 10:40:28,
46,20,30,2025-02-12 20:40:37,2025-02-12 20:51:37
47,20,1,2025-02-12 19:56:37,2025-02-12 20:50:37
48,20,25,2025-02-12 20:52:37,
49,20,13,2025-02-12 20:24:37,
50,21,9,2024-11-12 00:07:26,
51,21,18,2024-11-12 00:41:26,2024-11-12 01:26:26
52,21,1,2024-11-11 23:16:26,
53,21,17,2024-11-12 00:20:26,2024-11-12 01:03:26
54,22,21,2024-07-29 13:06:24,2024-07-29 13:28:24
55,22,27,2024-07-29 13:26:24,2024-07-29 14:08:24
56,22,8,2024-07-29 12:18:24,
57,23,29,2024-07-16 16:32:28,
58,23,28,2024-07-16 17:58:28,
59,23,27,2024-07-16 16:56:28,2024-07-16 17:02:28
60,23,36,2024-07-16 17:52:28,
61,24,34,2024-09-09 16:33:49,
62,25,26,2024-04-18 17:06:58,2024-04-18 17:33:58
63,25,4,2024-04-18 17:11:58,
64,26,18,2024-12-03 20:13:11,2024-12-03 20:49:11
65,26,43,2024-12-03 20:32:11,
66,26,1,2024-12-03 19:24:11,2024-12-03 19:30:11
67,27,13,2024-05-04 05:19:26,
68,27,43,2024-05-04 06:01:26,
69,27,17,2024-05-04 05:57:26,2024-05-04 06:26:26
70,27,26,2024-05-04 04:49:26,2024-05-04 04:50:26
71,28,20,2025-01-23 01:29:00,2025-01-23 02:02:00
72,28,50,2025-01-23 00:58:00,2025-01-23 01:05:00
73,29,48,2024-05-11 00:05:08,2024-05-11 01:04:08
74,29,8,2024-05-11 01:25:08,2024-05-11 01:54:08
75,29,11,2024-05-11 00:19:08,
76,30,29,2024-04-19 04:19:07,2024-04-19 04:55:07
77,30,25,2024-04-19 02:51:07,2024-04-19 02:58:07
78,31,14,2024-07-28 08:41:58,
79,31,15,2024-07-28 09:08:58,
80,31,12,2024-07-28 09:03:58,2024-07-28 09:41:58
81,31,27,2024-07-28 09:26:58,2024-07-28 09:45:58
82,32,31,2025-01-22 15:29:51,
83,32,48,2025-01-22 15:40:51,
84,32,23,2025-01-22 14:43:51,2025-01-22 14:55:51
85,33,42,2025-02-13 11:39:39,
86,33,31,2025-02-13 12:56:39,
87,33,44,2025-02-13 12:08:39,2025-02-13 12:15:39
88,34,13,2024-10-17 17:33:32,
89,34,45,2024-10-17 17:06:32,
90,35,32,2025-03-24 02:41:12,
91,36,13,2024-05-27 05:57:36,2024-05-27 06:02:36
92,37,47,2024-08-14 18:11:13,
93,38,6,2025-01-10 19:31:13,2025-01-10 20:06:13
94,38,31,2025-01-10 20:08:13,
95,39,40,2024-08-11 11:41:34,
96,39,29,2024-08-11 12:34:34,
97,40,23,2024-06-07 11:55:43,
98,41,19,2024-11-12 15:44:10,
99,41,36,2024-11-12 14:42:10,
100,42,10,2024-05-08 06:17:23,
101,42,26,2024-05-08 06:57:23,
102,42,31,2024-05-08 06:36:23,
103,42,20,2024-05-08 06:19:23,2024-05-08 06:42:23
104,43,29,2024-08-29 15:21:26,2024-08-29 16:05:26
105,43,15,2024-08-29 15:24:26,2024-08-29 15:49:26
106,43,2,2024-08-29 16:01:26,
107,43,10,2024-08-29 15:05:26,
108,44,39,2024-07-17 02:21:01,2024-07-17 03:03:01
109,44,12,2024-07-17 02:18:01,
110,45,19,2024-08-14 14:21:08,
111,45,20,2024-08-14 14:39:08,2024-08-14 14:50:08
112,46,43,2024-10-09 14:09:20,
113,47,20,2024-10-28 01:36:13,2024-10-28 02:14:13
114,47,18,2024-10-28 01:28:13,
115,47,5,2024-10-28 00:53:13,
116,48,36,2024-05-16 06:21:18,2024-05-16 06:46:18
117,48,5,2024-05-16 05:17:18,2024-05-16 05:20:18
118,48,6,2024-05-16 05:10:18,2024-05-16 05:29:18
119,49,3,2024-08-08 16:05:30,2024-08-08 16:15:30
120,50,42,2024-09-02 12:29:29,2024-09-02 12:31:29
121,50,48,2024-09-02 13:30:29,2024-09-02 14:21:29
122,50,7,2024-09-02 12:28:29,2024-09-02 13:07:29
123,50,50,2024-09-02 13:43:29,2024-09-02 13:56:29
124,51,6,2024-09-09 16:26:03,
125,51,46,2024-09-09 18:02:03,
126,51,33,2024-09-09 17:45:03,2024-09-09 18:20:03
127,51,7,2024-09-09 16:29:03,
128,52,6,2024-10-07 18:08:21,2024-10-07 18:55:21
129,52,36,2024-10-07 17:19:21,2024-10-07 18:06:21
130,53,36,2024-09-17 23:30:24,
131,53,20,2024-09-17 22:31:24,2024-09-17 22:41:24
132,53,39,2024-09-17 22:52:24,
133,54,33,2024-05-12 10:37:21,2024-05-12 10:38:21
134,54,1,2024-05-12 10:08:21,
135,54,48,2024-05-12 11:17:21,2024-05-12 11:59:21
136,55,32,2024-07-04 13:02:40,
137,56,17,2024-12-06 18:19:17,2024-12-06 19:15:17
138,56,3,2024-12-06 16:57:17,
139,56,48,2024-12-06 17:16:17,2024-12-06 17:57:17
140,57,10,2025-02-12 03:00:40,
141,57,21,2025-02-12 02:04:40,2025-02-12 02:44:40
142,57,43,2025-02-12 03:08:40,2025-02-12 03:31:40
143,57,26,2025-02-12 03:18:40,2025-02-12 03:36:40
144,58,3,2024-10-19 05:26:49,
145,58,15,2024-10-19 04:55:49,2024-10-19 05:44:49
146,58,27,2024-10-19 05:13:49,
147,59,3,2024-06-08 13:30:38,
148,59,47,2024-06-08 12:05:38,
149,59,42,2024-06-08 12:48:38,2024-06-08 13:38:38
150,60,42,2024-05-11 04:36:41,2024-05-11 04:53:41
151,60,24,2024-05-11 04:35:41,2024-05-11 04:46:41
152,61,27,2024-06-11 08:03:45,2024-06-11 08:20:45
153,62,22,2024-09-02 15:45:47,
154,62,15,2024-09-02 16:37:47,2024-09-02 17:36:47
155,63,30,2024-11-07 21:15:42,
156,63,38,2024-11-07 20:42:42,
157,64,50,2024-12-14 01:20:03,2024-12-14 01:47:03
158,65,15,2024-10-23 22:52:21,
159,65,49,2024-10-23 22:36:21,2024-10-23 23:19:21
160,65,13,2024-10-23 22:38:21,
161,65,27,2024-10-23 22:56:21,
162,66,25,2024-11-07 21:04:01,2024-11-07 21:21:01
163,66,5,2024-11-07 21:37:01,2024-11-07 22:36:01
164,66,37,2024-11-07 20:08:01,
165,66,48,2024-11-07 20:31:01,2024-11-07 20:41:01
166,67,17,2024-08-22 01:37:29,
167,67,21,2024-08-22 01:39:29,
168,67,32,2024-08-22 01:30:29,2024-08-22 01:47:29
169,67,39,2024-08-22 01:11:29,
170,68,25,2024-12-14 12:40:38,2024-12-14 13:12:38
171,68,42,2024-12-14 12:28:38,2024-12-14 12:56:38
172,68,18,2024-12-14 12:56:38,
173,69,27,2025-01-05 21:35:49,2025-01-05 22:27:49
174,70,2,2024-09-09 06:54:58,
175,71,34,2025-02-07 01:11:30,
176,71,38,2025-02-07 00:38:30,2025-02-07 01:17:30
177,71,23,2025-02-07 00:41:30,
178,71,28,2025-02-07 00:23:30,2025-02-07 00:30:30
179,72,41,2025-01-12 02:19:39,
180,72,21,2025-01-12 03:51:39,
181,72,45,2025-01-12 02:22:39,
