review_id,user_id,product_id,rating,comment,created_at
1,83,38,2,Painting senior entire expect investment yard responsibility.,2025-03-26 23:32:59
2,7,14,4,Money fish garden relationship it center accept.,2024-10-19 03:12:37
3,4,4,5,His less already treatment PM sometimes set.,2025-03-10 00:28:15
4,52,9,5,More walk quite piece physical market.,2025-01-07 07:58:39
5,94,46,3,Number drug continue serve information.,2024-11-10 16:55:38
6,53,26,5,Season last meeting southern relate.,2025-03-31 06:32:59
7,8,48,4,Key assume interview house.,2024-07-23 15:54:38
8,70,10,5,Think similar particular before air action.,2024-07-15 21:14:47
9,17,42,2,Hit simple personal home they although.,2024-10-02 07:44:12
10,76,11,1,Camera report foreign agency list miss among.,2024-11-08 01:37:40
11,74,31,3,Guess attorney response provide likely fire.,2025-02-16 16:07:04
12,35,17,2,Fire town worker.,2025-01-19 16:22:00
13,52,44,1,Image central challenge term memory.,2024-06-13 20:57:37
14,82,4,5,Treat relate respond rich.,2025-01-06 22:14:41
15,100,50,1,Analysis never season piece wear general one.,2024-05-15 14:42:41
16,2,41,3,Company enter son foreign remember site military.,2024-09-29 02:17:55
17,20,50,2,Series large check plan.,2024-06-19 00:09:22
18,98,33,2,Almost serious stand author possible lead draw.,2024-09-29 21:30:33
19,15,22,1,Remember tree care sign.,2024-05-06 06:00:19
20,95,21,2,Star gas spend bag.,2024-09-18 14:19:11
21,43,38,1,Now from her gun subject PM.,2024-06-04 02:00:32
22,12,24,2,Consumer by full.,2024-11-23 05:55:14
23,33,29,3,Including artist find.,2024-09-04 15:18:34
24,88,32,4,Over some collection.,2025-03-16 19:23:05
25,69,34,1,Impact key page per.,2024-07-17 19:26:35
26,11,21,4,None sound include air sort.,2024-06-23 22:44:04
27,50,50,4,Ask benefit ago again identify real.,2025-03-08 23:47:40
28,70,31,5,Lead network the many ball appear.,2025-02-24 05:57:21
29,55,34,1,Agree middle student bag grow.,2024-05-21 08:13:06
30,29,10,4,Child might source.,2025-03-31 22:33:33
31,66,21,2,Heavy church nature.,2024-06-08 00:27:42
32,10,10,2,Single city quite wall.,2025-03-22 13:21:57
